logFC	AveExpr	t	P.Value	adj.P.Val	B
Loxl2	2.79403202615801	6.04958084838175	5.63311863820169	1.60991953573506e-05	0.00231652785560131	3.04074749837429
Bmp6	1.59978516258041	1.5552754016653	5.57750646928667	1.82409265661378e-05	0.00248894298007611	3.01258479318974
Adamtsl4	2.3228927320771	3.95863790363688	5.5962024080095	1.74902108985328e-05	0.00244986777081395	3.00699821172882
Igfbpl1	-3.33889812649923	2.13638171098777	-6.0501308086576	6.38158734127752e-06	0.00132904953207553	2.93129402168875
Medag	5.91198233396266	0.821423085227464	5.70948297774555	1.35694179528982e-05	0.00211820842467034	2.91205276839007
Tub	-3.10582212006091	3.39378619916106	-5.87454626812499	9.39863471012109e-06	0.00168410946207873	2.90488450358942
Anxa7	1.12649991023857	6.50228149067752	5.55044280110096	1.93863779541691e-05	0.00260040330727617	2.86977960562037
Lgals3	2.18044426117731	3.2104093236886	5.47761888040145	2.28473813376014e-05	0.0029886640645583	2.81457960177181
Cpne8	2.29689393472991	1.87374046215066	5.49909776744074	2.17655732325666e-05	0.00287087910937553	2.79856047031329
Tcaf2	2.51972553924361	2.65124585815892	5.43090703873126	2.53935034446806e-05	0.00320128672806979	2.71285689991902
Hap1	-1.17961524160951	5.51786517200753	-5.42933447886272	2.54840869179172e-05	0.00320128672806979	2.70328597664441
Alms1	-0.987060821694993	6.43991502497853	-5.4343244289741	2.51977835048915e-05	0.00320128672806979	2.68800701195817
Oxct1	-0.930227141335513	7.18511164042455	-5.45663030082425	2.39575257833106e-05	0.00310819441064131	2.66832190615068
Scn1b	2.58168214080525	1.9078360253553	5.55283183991198	1.92823719415799e-05	0.00260040330727617	2.63542621886618
Pdzk1ip1	1.62734351271568	-1.11817457016164	5.42335298382755	2.58316576078528e-05	0.00321939745367791	2.62928087089502
Slc39a13	1.62787558461511	3.90103720808312	5.36489316377954	2.94940108914573e-05	0.00348381495813423	2.58172345222422
Ect2	-1.91905791068303	7.29410694617817	-5.38755606613211	2.80152021632206e-05	0.00338492076213325	2.57426249295771
Cd34	1.73176734130452	5.01547474556803	5.43261182490642	2.52956742889685e-05	0.00320128672806979	2.57276747852755
F11r	2.44772254983951	4.51965581655427	5.36856382929227	2.92491974722427e-05	0.00348087441797487	2.56511987157196
Ano6	0.755533969326899	6.66040395359554	5.40613332061714	2.68594895350434e-05	0.00328324732334319	2.53014000096903
Nptn	1.01794787747973	6.93635496382233	5.40438302453291	2.69662719253611e-05	0.00328324732334319	2.51656226240254
Fbln5	4.51713538274331	4.42089685494512	5.34806258524655	3.06435418783152e-05	0.0035663675062498	2.47012351500243
Bicc1	1.76171000399858	3.16488315539096	5.30762121734357	3.35960160465294e-05	0.00381398449632398	2.46204085485111
